,Sale,SalesAmountInEuro,time_delay_for_conversion,click_timestamp,nb_clicks_1week,product_price,product_age_group,device_type,audience_id,product_gender,product_brand,prod_category1,prod_category2,prod_category3,prod_category4,prod_category5,prod_category6,prod_category7,product_country,product_id,product_title,partner_id,user_id
17694,0,-1.0,-1,1601412785,1,0.0,4C90FD52FC53D2C1C205844CB69575AB,7E56C27BFF0305E788DA55A029EC4988,-1,C45A9AC6D102ACAEEDF0D6F78636D84A,585B1F165875F86701AF4E45AAB7AFCA,033E492229C2222EFAA16EE8A6462D8B,CD599E5A946D00A81A875E085F7EF1E8,-1,-1,-1,-1,-1,2AC62132FBCFA093B9426894A4BC6278,85026A4605C3FC79475DE0870F09EEEE,F658FBDDD629031139FEA24329C45B57 5D1EF27EF97B13C18BB34263AABA8BBC,04A66CE7327C6E21493DA6F3B9AACC75,9C207226DDCE4C081128A9299B912374
19347,0,-1.0,-1,1601440036,206,0.0,4C90FD52FC53D2C1C205844CB69575AB,7E56C27BFF0305E788DA55A029EC4988,6D6BB7506344BCE36EE0CA092F9CC20E,C45A9AC6D102ACAEEDF0D6F78636D84A,585B1F165875F86701AF4E45AAB7AFCA,033E492229C2222EFAA16EE8A6462D8B,CD599E5A946D00A81A875E085F7EF1E8,-1,-1,-1,-1,-1,2AC62132FBCFA093B9426894A4BC6278,122FC138419F23A264643CCFE33DB019,244D177967B03058DA8B2CC7E572B014 7EFD55698FF83B096D0765C63DA3D04D,04A66CE7327C6E21493DA6F3B9AACC75,8314FB142481D74CB43A1361CD805020
23240,0,-1.0,-1,1603105432,169,0.0,4C90FD52FC53D2C1C205844CB69575AB,D7D1FB49049702BF6338894757E0D959,-1,C45A9AC6D102ACAEEDF0D6F78636D84A,585B1F165875F86701AF4E45AAB7AFCA,033E492229C2222EFAA16EE8A6462D8B,CD599E5A946D00A81A875E085F7EF1E8,-1,-1,-1,-1,-1,2AC62132FBCFA093B9426894A4BC6278,122FC138419F23A264643CCFE33DB019,244D177967B03058DA8B2CC7E572B014 7EFD55698FF83B096D0765C63DA3D04D,04A66CE7327C6E21493DA6F3B9AACC75,82F4F620721DAFE5BB87C516E6A68F18
24132,0,-1.0,-1,1603137191,11,0.0,4C90FD52FC53D2C1C205844CB69575AB,7E56C27BFF0305E788DA55A029EC4988,-1,C45A9AC6D102ACAEEDF0D6F78636D84A,585B1F165875F86701AF4E45AAB7AFCA,033E492229C2222EFAA16EE8A6462D8B,77FFC91A6157E50A0A114135F18BB1DB,C08050B58F54FA81F4580ECE15296698,067525A83E1875CB1828F4F9ADC752F6,-1,-1,-1,2AC62132FBCFA093B9426894A4BC6278,B0FD36E8692CE8B50BD619DFD77A6FFF,22DDB3060AFE4408D09A6EFE077C551B E35BF624B6C6D29C8D6E1BEF28013DEB,04A66CE7327C6E21493DA6F3B9AACC75,362DC627E0974BFC99089CA2AA96DB95
45094,0,-1.0,-1,1597995721,-1,0.0,-1,7E56C27BFF0305E788DA55A029EC4988,574C9944ADF577E1E63F6107E8B782D8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,04A66CE7327C6E21493DA6F3B9AACC75,CCEA61639AF8A07336E11A792E73EDFB
45457,0,-1.0,-1,1598020065,0,0.0,4C90FD52FC53D2C1C205844CB69575AB,7E56C27BFF0305E788DA55A029EC4988,-1,C45A9AC6D102ACAEEDF0D6F78636D84A,585B1F165875F86701AF4E45AAB7AFCA,033E492229C2222EFAA16EE8A6462D8B,CD599E5A946D00A81A875E085F7EF1E8,-1,-1,-1,-1,-1,2AC62132FBCFA093B9426894A4BC6278,187710721EDBD2D28A514925FF2665A4,2C4391449AA22E6E9D28D0B99BF32C8B,04A66CE7327C6E21493DA6F3B9AACC75,2EC15B7B53ADBC653C217CF9132EE593
45678,0,-1.0,-1,1598065634,0,0.0,4C90FD52FC53D2C1C205844CB69575AB,D7D1FB49049702BF6338894757E0D959,33AB0CF5402CE55A8BA494F4E9D8B588,C45A9AC6D102ACAEEDF0D6F78636D84A,585B1F165875F86701AF4E45AAB7AFCA,033E492229C2222EFAA16EE8A6462D8B,77FFC91A6157E50A0A114135F18BB1DB,8A30BF8BD2B3E9D44D2938D42C387D2E,-1,-1,-1,-1,2AC62132FBCFA093B9426894A4BC6278,6C7F3EB72576D14FD0230A8F60ED5774,7A32D98DD697F02A41CFA92BF07AFFDD FF2E182344AF07C0FDBE8ED9C657C9AF 216CCCBF3716D96B60C911A4B1AE2372,04A66CE7327C6E21493DA6F3B9AACC75,C7C3D789AC2A72B686EBCEEDB5C2ECA9
55793,0,-1.0,-1,1603319793,1,0.0,4C90FD52FC53D2C1C205844CB69575AB,7E56C27BFF0305E788DA55A029EC4988,7A708591719C2AB754BAD894F08023F3,C45A9AC6D102ACAEEDF0D6F78636D84A,585B1F165875F86701AF4E45AAB7AFCA,033E492229C2222EFAA16EE8A6462D8B,77FFC91A6157E50A0A114135F18BB1DB,C08050B58F54FA81F4580ECE15296698,067525A83E1875CB1828F4F9ADC752F6,-1,-1,-1,2AC62132FBCFA093B9426894A4BC6278,1B889B33E443C2834560475443A53ED4,21C791D41E1E43D8E150B04C0B34824C 2E6B9CE0EBD219441DEE5AFD30F2AC08 84F6C5DB59CED791F7DA9D57E24135FF,04A66CE7327C6E21493DA6F3B9AACC75,6F6110CF789079991C670FED46E0A3D2
58288,0,-1.0,-1,1603269743,-1,0.0,-1,7E56C27BFF0305E788DA55A029EC4988,574C9944ADF577E1E63F6107E8B782D8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,04A66CE7327C6E21493DA6F3B9AACC75,873944600F0CD90501358913038695DE
60138,0,-1.0,-1,1603323877,-1,0.0,-1,7E56C27BFF0305E788DA55A029EC4988,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,04A66CE7327C6E21493DA6F3B9AACC75,49866BDE9F158EE2C8E83962B2A0C81E
