,Sale,SalesAmountInEuro,time_delay_for_conversion,click_timestamp,nb_clicks_1week,product_price,product_age_group,device_type,audience_id,product_gender,product_brand,prod_category1,prod_category2,prod_category3,prod_category4,prod_category5,prod_category6,prod_category7,product_country,product_id,product_title,partner_id,user_id
14227,0,-1.0,-1,1601449630,-1,0.0,0,3,401,0,0,0,0,0,0,0,0,0,10,BDF318D2EAD260AC32F0D5D324CD4A98,0,C0F515F0A2D0A5D9F854008BA76EB537,6660437
15252,0,-1.0,-1,1601446932,-1,0.0,0,3,0,0,0,0,0,0,0,0,0,0,10,6843E5952E3A324E27D1F8E3C4830C87,0,C0F515F0A2D0A5D9F854008BA76EB537,5440967
15440,0,-1.0,-1,1601448749,-1,0.0,0,3,0,0,0,0,0,0,0,0,0,0,10,8C43FBC8A2F29CB956495FCF0CD28747,0,C0F515F0A2D0A5D9F854008BA76EB537,2947222
15778,0,-1.0,-1,1601439344,-1,0.0,0,3,0,0,0,0,0,0,0,0,0,0,10,5AC3B6A1732008DD8CA089A0EC4E03CE,0,C0F515F0A2D0A5D9F854008BA76EB537,8803914
16046,0,-1.0,-1,1601449211,-1,0.0,0,3,0,0,0,0,0,0,0,0,0,0,10,5AC3B6A1732008DD8CA089A0EC4E03CE,0,C0F515F0A2D0A5D9F854008BA76EB537,10465337
18497,0,-1.0,-1,1601443776,-1,0.0,0,3,0,0,0,0,0,0,0,0,0,0,10,B69DBADA889C728F389FDE16C75FE1AA,0,C0F515F0A2D0A5D9F854008BA76EB537,3221342
19009,0,-1.0,-1,1601440715,-1,0.0,0,3,0,0,0,0,0,0,0,0,0,0,10,3EE4DD9A25F2CA3C2B9E02FE428AE5D0,0,C0F515F0A2D0A5D9F854008BA76EB537,3830951
19700,0,-1.0,-1,1601447087,-1,0.0,0,7,0,0,0,0,0,0,0,0,0,0,10,3643ED33E72140E81A93498C83068405,0,C0F515F0A2D0A5D9F854008BA76EB537,11025471
21376,0,-1.0,-1,1603174922,18,0.0,0,3,16542,0,54805,3,23,76,52,0,0,0,10,CA63DF6F25A7503EDE8211EC5370567B,2822,C0F515F0A2D0A5D9F854008BA76EB537,5308766
22078,0,-1.0,-1,1603139152,25,0.0,0,3,0,0,4391,3,23,76,1304,179,108,0,10,4090F9DDFEA2E449BDEAA792C042EA81,314875,C0F515F0A2D0A5D9F854008BA76EB537,1875005
